iter	RMSE
0	14.91505605
1	14.52163503
2	14.15896823
3	13.85141524
4	13.51434445
5	13.19727698
6	12.91900128
7	12.64281252
8	12.37491368
9	12.0741923
10	11.81379569
11	11.54776103
12	11.28405378
13	11.04320433
14	10.81526231
15	10.58933535
16	10.37299578
17	10.18694557
18	9.985671637
19	9.779520731
20	9.583618568
21	9.405222567
22	9.24419279
23	9.073204187
24	8.910560876
25	8.75556615
26	8.611049479
27	8.487819498
28	8.347969353
29	8.233691
30	8.121686979
31	8.010095267
32	7.899493101
33	7.799411431
34	7.695709564
35	7.595713635
36	7.494174825
37	7.397560197
38	7.319619486
39	7.235946594
40	7.151173181
41	7.082543632
42	7.00994687
43	6.940247857
44	6.881677196
45	6.813453331
46	6.755382377
47	6.701468972
48	6.647403467
49	6.588088269
50	6.538548506
51	6.485960631
52	6.438178747
53	6.387217391
54	6.339971945
55	6.297395191
56	6.253703493
57	6.215741631
58	6.17178118
59	6.138011646
60	6.104771296
61	6.067276427
62	6.040881579
63	6.012901618
64	5.986664766
65	5.952304509
66	5.924225059
67	5.898686847
68	5.872077602
69	5.843654402
70	5.821580094
71	5.802610177
72	5.782696035
73	5.764835146
74	5.743439377
75	5.724968746
76	5.70259395
77	5.685348783
78	5.666502101
79	5.650850787
80	5.636854391
81	5.618477097
82	5.601253787
83	5.581713799
84	5.570501552
85	5.551149759
86	5.538485464
87	5.523801585
88	5.507795237
89	5.494379244
90	5.476536015
91	5.467908815
92	5.455791746
93	5.446085641
94	5.434583689
95	5.420360796
96	5.407571861
97	5.396768829
98	5.390634807
99	5.382022263
100	5.37012936
101	5.36034433
102	5.350038796
103	5.34038124
104	5.325991116
105	5.314848922
106	5.308905843
107	5.300049129
108	5.291543417
109	5.28232256
110	5.274482106
111	5.266567608
112	5.25923026
113	5.252851481
114	5.246562799
115	5.240404518
116	5.232012284
117	5.226854455
118	5.220990617
119	5.212724549
120	5.209184174
121	5.202159648
122	5.194217769
123	5.187575809
124	5.182815744
125	5.176300024
126	5.169643965
127	5.162215499
128	5.156820104
129	5.151430046
130	5.144555733
131	5.141660944
132	5.13287935
133	5.126971235
134	5.120152661
135	5.115877567
136	5.110140524
137	5.100932376
138	5.093906012
139	5.089949455
140	5.084429523
141	5.079147354
142	5.077949499
143	5.073523856
144	5.068689959
145	5.064017388
146	5.057662414
147	5.051048683
148	5.045552758
149	5.040143363
150	5.034518397
151	5.031472931
152	5.026548264
153	5.02073851
154	5.017963585
155	5.010730188
156	5.003803692
157	5.000299383
158	4.995164882
159	4.990140657
160	4.986575586
161	4.981916432
162	4.977660909
163	4.973718919
164	4.963895514
165	4.957994768
166	4.953000751
167	4.948781337
168	4.944213205
169	4.941414984
170	4.937177537
171	4.933156794
172	4.927443483
173	4.921374514
174	4.918187419
175	4.915230222
176	4.908633776
177	4.904739744
178	4.899758256
179	4.895805898
180	4.889890426
181	4.882396305
182	4.877776205
183	4.872170957
184	4.868470707
185	4.865771522
186	4.860079056
187	4.854471789
188	4.852270809
189	4.847393813
190	4.842139472
191	4.840237829
192	4.834034085
193	4.830659538
194	4.828250885
195	4.823293486
196	4.819369373
197	4.817263811
198	4.8135511
199	4.811670998
200	4.808060294
201	4.805178851
202	4.803036476
203	4.80099992
204	4.797989395
205	4.794881291
206	4.790248587
207	4.788132725
208	4.785311829
209	4.782518551
210	4.779068753
211	4.773337208
212	4.76806528
213	4.763143917
214	4.760972325
215	4.756584396
216	4.75380747
217	4.750971234
218	4.748326059
219	4.744458795
220	4.739189639
221	4.737282218
222	4.735542381
223	4.72913101
224	4.723861902
225	4.72221927
226	4.720302163
227	4.717283491
228	4.715062934
229	4.713621053
230	4.710568372
231	4.705979691
232	4.699176716
233	4.696463638
234	4.694018231
235	4.689211586
236	4.686249351
237	4.684387314
238	4.682065686
239	4.680138574
240	4.676240955
241	4.671214699
242	4.664538282
243	4.661505891
244	4.658014968
245	4.655785207
246	4.652460429
247	4.650438424
248	4.647901295
249	4.643530347
250	4.63825652
251	4.636248226
252	4.633924686
253	4.628405611
254	4.622694603
255	4.61829858
256	4.614538402
257	4.611817956
258	4.610208942
259	4.60927805
260	4.606801182
261	4.60266836
262	4.597291976
263	4.595634613
264	4.590588593
265	4.586663081
266	4.585250487
267	4.581279205
268	4.579381462
269	4.576124934
270	4.571472007
271	4.570131774
272	4.568367681
273	4.563029125
274	4.561626356
275	4.560226117
276	4.55874612
277	4.55399919
278	4.548813818
279	4.54294694
280	4.538832474
281	4.534420473
282	4.528987838
